Verstappen vs Hamilton,,,,,,Pit Stops,,,,,,Temperatures,,,,,,,,,
raceId,driver,lap,position,time,,raceId,driver,stop,lap,stop time,,trackTemp,lap,,,,,,,,
abudhabi,ver,24,2,01:28.2,,,,,,,,,,,,,,,,,
abudhabi,ver,25,2,01:28.0,,,,,,,,,,,,,,,,,
abudhabi,ver,26,2,01:28.6,,,,,,,,,,,,,,,,,
abudhabi,ver,27,2,01:28.3,,,,,,,,,,,,,,,,,
abudhabi,ver,28,2,01:27.9,,,,,,,,,,,,,,,,,
abudhabi,ver,29,2,01:27.9,,,,,,,,,,,,,,,,,
abudhabi,ver,30,2,01:27.7,,,,,,,,,,,,,,,,,
abudhabi,ver,31,2,01:27.9,,,,,,,,,,,,,,,,,
abudhabi,ver,32,2,01:27.9,,,,,,,,,,,,,,,,,
abudhabi,ver,33,2,01:27.6,,,,,,,,,,,,,,,,,
abudhabi,ver,34,2,01:27.8,,,,,,,,,,,,,,,,,
abudhabi,ver,35,2,01:27.8,,,,,,,,,,,,,,,,,
abudhabi,ver,36,2,01:43.6,,,,,,,,,,,,,,,,,
abudhabi,ver,37,2,02:08.6,,,,,,,,,,,,,,,,,
abudhabi,ver,38,2,01:26.3,,,,,,,,,,,,,,,,,
abudhabi,ver,39,2,01:26.1,,,,,,,,,,,,,,,,,
abudhabi,ver,40,2,01:26.6,,,,,,,,,,,,,,,,,
abudhabi,ver,41,2,01:26.3,,,,,,,,,,,,,,,,,
abudhabi,ver,42,2,01:26.5,,,,,,,,,,,,,,,,,
abudhabi,ver,43,2,01:26.4,,,,,,,,,,,,,,,,,
abudhabi,ver,44,2,01:26.8,,,,,,,,,,,,,,,,,
abudhabi,ver,45,2,01:26.8,,,,,,,,,,,,,,,,,
abudhabi,ver,46,2,01:27.0,,,,,,,,,,,,,,,,,
abudhabi,ver,47,2,01:26.7,,,,,,,,,,,,,,,,,
abudhabi,ver,48,2,01:26.6,,,,,,,,,,,,,,,,,
abudhabi,ver,49,2,01:26.7,,,,,,,,,,,,,,,,,
abudhabi,ver,50,2,01:26.7,,,,,,,,,,,,,,,,,
abudhabi,ver,51,2,01:27.0,,,,,,,,,,,,,,,,,
abudhabi,ver,52,2,01:27.6,,,,,,,,,,,,,,,,,
abudhabi,ver,53,2,01:42.1,,,,,,,,,,,,,,,,,
abudhabi,ver,54,2,02:15.4,,,,,,,,,,,,,,,,,
abudhabi,ver,55,2,02:30.4,,,,,,,,,,,,,,,,,
abudhabi,ver,56,2,02:26.4,,,,,,,,,,,,,,,,,
abudhabi,ver,57,2,02:21.9,,,,,,,,,,,,,,,,,
abudhabi,ver,58,1,01:26.6,,,,,,,,,,,,,,,,,
